x y a
0.017309 -0.043133 92
1.286610 0.794778 103
-0.482633 1.066879 109
0.312332 -1.199033 1
-1.071601 -0.212050 67
-1.072643 0.579375 113
-0.986244 0.205671 73
-0.803752 2.109867 55
0.959800 0.595049 223
-1.707186 0.771438 199
-0.438315 -1.352050 154
-1.329864 0.135639 22
2.418935 1.179209 10
-0.065121 0.065758 254
0.488277 -0.540625 250
-0.809625 1.526732 154
-0.557520 1.532954 237
-0.213056 0.720966 165
-0.153814 1.529138 171
2.494686 0.373333 163
2.089813 -0.890814 49
0.913183 -1.633432 28
-0.765142 -0.364980 50
0.361715 1.837717 88
-0.507511 -0.343742 39
-0.584216 -1.083261 71
0.262073 0.402901 110
-0.373934 0.153834 61
-1.723142 1.533739 133
0.482299 0.428109 244
-1.485352 -0.767676 146
1.834366 0.904879 88
0.620613 -0.628301 19
1.041445 -0.311511 90
0.751816 0.738420 152
-0.326568 -0.734654 203
-1.040071 0.187019 2
-0.863023 0.963867 153
1.492721 1.471006 94
-0.452683 -1.432409 122
2.490132 -0.515600 205
2.157826 -1.578074 5
-1.621243 1.160154 216
1.349830 2.026264 124
0.413865 1.194500 180
-0.537959 0.489175 249
-0.430318 -0.516115 158
-0.077177 -0.917392 92
1.970075 0.506762 40
-0.209055 0.101911 99
-0.309742 -0.265376 86
0.468346 -0.600800 18
-0.222305 -0.313868 114
-0.830085 1.365084 147
0.414740 1.174283 78
-0.105142 1.201551 101
-1.057455 0.499048 124
-2.504249 -2.702930 30
0.589765 0.732347 228
-2.453526 0.256313 132
-0.101689 -0.784067 198
-0.117917 -0.301056 39
1.180512 -1.162206 60
-0.206918 -0.176808 219
0.157092 -0.158145 32
0.269454 -1.507638 2
0.846738 0.400516 21
0.389824 -1.533453 86
-0.568267 -0.784517 78
0.486701 0.213178 204
0.038462 1.907030 176
-1.700620 0.000951 42
0.778674 0.089791 85
-1.124470 0.586597 166
-2.928333 0.969379 236
0.087739 -0.919651 124
1.905752 -0.010444 208
-0.914066 -0.478264 118
0.697256 -0.822986 246
0.815692 -0.665116 211
-2.022005 0.582365 73
0.647584 -0.601589 177
0.457429 -1.625190 164
0.739418 2.187371 127
-1.170368 1.431549 151
-0.031775 -0.432927 157
-1.946514 -2.565263 155
-1.461649 0.150519 97
1.761017 0.484093 58
0.591296 1.714275 111
0.264988 0.087718 188
1.501292 -1.034373 114
-0.356965 0.251082 200
-0.453953 0.002193 110
0.412910 0.040023 231
-0.203788 -0.046549 197
-2.260895 0.996993 226
0.457666 -2.685725 147
-1.549699 0.357461 231
0.695374 0.089687 29
0.421483 1.455210 167
1.017202 -0.200490 64
-0.424091 1.770835 28
1.656159 -0.233624 60
0.458195 0.863601 110
0.816553 0.980639 109
-0.447479 -0.613717 199
-1.073407 -0.611153 175
0.002704 -0.132542 143
-0.617531 -0.216890 216
-1.865969 1.646409 89
0.438723 0.453586 239
0.499423 2.363705 38
1.334628 1.623730 22
-0.641689 0.096763 15
-1.119374 0.175723 176
0.743795 -0.301541 98
0.952709 1.227890 224
0.087694 1.252821 224
0.617104 -1.583796 162
0.188143 -0.935147 250
2.041477 -1.794821 4
-0.456815 0.089359 239
0.706964 -1.590053 237
0.629172 -0.470460 22
-0.903963 1.414561 250
-0.239241 -0.181684 153
0.640121 -2.136111 231
0.688849 0.722102 71
0.292274 -1.062652 34
0.353087 -2.176432 212
-0.808068 0.109179 217
0.220495 -0.146585 241
-0.083021 0.024977 208
0.977785 -0.702287 102
-1.032121 1.737824 195
-0.153195 -0.913424 155
-0.378509 -0.675893 225
-0.299855 -2.343111 25
0.439865 -0.458523 135
-1.033161 0.268819 33
-0.014333 -2.135382 26
1.285090 0.738984 2
1.050628 -1.826999 205
0.407703 -0.812770 62
0.507575 -0.487660 237
1.917188 -0.283906 176
-0.902413 -0.147617 247
0.269174 1.052286 22
1.836313 -2.203256 242
-0.584495 0.145778 217
1.336464 0.957424 19
0.196493 -1.242845 213
-0.479617 -1.017172 214
0.373131 -0.673436 79
1.691410 -0.122700 126
1.100002 -0.936545 148
0.737319 0.268932 211
